"y_total_m_ha";"hoursWorkUsual";"age";"sex";"oficio";"relab";"college";"ocu";"clase";"cotPension";"cuentaPropia";"depto";"directorio";"dominio";"dsi";"estrato1";"formal";"fweight";"inac";"informal";"maxEducLevel";"mes";"pea";"pet";"sizeFirm";"wap";"regSalud";"age2";"ln_wage"
"33";12315.625;48;33;1;11;1;0;1;1;1;0;11;4772510;"BOGOTA";0;2;1;392;0;0;7;11;1;1;5;1;1;1089;9.41862406038337
"34";4861.111328125;48;49;1;95;4;0;1;1;1;1;11;4772512;"BOGOTA";0;2;1;282;0;0;4;11;1;1;4;1;1;2401;8.4890223590924
"35";4534.3779296875;48;44;0;55;1;0;1;1;1;0;11;4772512;"BOGOTA";0;2;1;282;0;0;3;11;1;1;3;1;1;1936;8.41944318217848
"36";11403.3564453125;48;55;1;58;1;1;1;1;1;0;11;4772516;"BOGOTA";0;4;1;308;0;0;6;11;1;1;5;1;1;3025;9.34166301607546
"37";12774.287109375;40;49;0;39;2;0;1;1;1;0;11;4772517;"BOGOTA";0;3;1;254;0;0;7;11;1;1;5;1;1;2401;9.4551896099434
"38";4966.43505859375;96;41;1;59;2;1;1;1;1;0;11;4772517;"BOGOTA";0;3;1;254;0;0;6;11;1;1;5;1;1;1681;8.51045756968021
"39";70000;50;43;0;30;1;0;1;1;1;0;11;4772520;"BOGOTA";0;5;1;282;0;0;7;11;1;1;5;1;1;1849;11.1562505210315
"40";36666.66796875;70;46;1;12;4;0;1;1;1;1;11;4772520;"BOGOTA";0;5;1;282;0;0;7;11;1;1;5;1;1;2116;10.5096233916178
"41";5444.4443359375;6;43;0;54;3;1;1;1;2;0;11;4772521;"BOGOTA";0;2;0;292;0;1;6;11;1;1;1;1;3;1849;8.6023509798267
"42";2722.22216796875;60;27;1;98;4;1;1;1;2;1;11;4772522;"BOGOTA";0;1;0;307;0;1;6;11;1;1;1;1;3;729;7.90920379926675
